decimalLatitude,decimalLongitude,Year,August,July,June,May,April,March,SeptBefore,AugustBefore,JulyBefore,JuneBefore,T_August,T_July,T_June,T_May,T_April,T_March,T_SeptBefore,T_AugustBefore,T_JulyBefore,T_JuneBefore
51.7961,-0.6559,1900,MONTH_1900-08-16,MONTH_1900-07-16,MONTH_1900-06-16,MONTH_1900-05-16,MONTH_1900-04-16,MONTH_1900-03-16,MONTH_1899-09-16,MONTH_1899-08-16,MONTH_1899-07-16,MONTH_1899-06-16,15.346818493779214,18.0663944802056,14.453242833923557,10.206789011207132,7.798245908836018,3.2052319241306524,13.625805462191664,17.9049502388409,17.690512886672956,14.984032845199625
51.7961,-0.6559,1898,MONTH_1898-08-16,MONTH_1898-07-16,MONTH_1898-06-16,MONTH_1898-05-16,MONTH_1898-04-16,MONTH_1898-03-16,MONTH_1897-09-16,MONTH_1897-08-16,MONTH_1897-07-16,MONTH_1897-06-16,16.67468931041014,15.253552889019051,13.219836453573425,10.52009983443676,7.743995713050537,3.7133720133798094,11.863688779078599,15.972635438064778,16.383232289767918,15.009781563788748
51.7961,-0.6559,1902,MONTH_1902-08-16,MONTH_1902-07-16,MONTH_1902-06-16,MONTH_1902-05-16,MONTH_1902-04-16,MONTH_1902-03-16,MONTH_1901-09-16,MONTH_1901-08-16,MONTH_1901-07-16,MONTH_1901-06-16,14.53938165349523,14.891167433789253,13.428452243034277,8.538192410663866,7.331491741514881,6.417288822918293,13.539802007183098,15.920388380411483,17.486690943430105,13.878640008943206
50.5731,-4.9157,1946,MONTH_1946-08-16,MONTH_1946-07-16,MONTH_1946-06-16,MONTH_1946-05-16,MONTH_1946-04-16,MONTH_1946-03-16,MONTH_1945-09-16,MONTH_1945-08-16,MONTH_1945-07-16,MONTH_1945-06-16,13.734377812413904,14.392000853602516,11.734363142250976,10.705769852154221,9.14454778464006,5.822086214411684,14.227849752712862,15.197861231938475,14.830403711159944,13.045302293349732
50.8179,-2.2695,2005,MONTH_2005-08-16,MONTH_2005-07-16,MONTH_2005-06-16,MONTH_2005-05-16,MONTH_2005-04-16,MONTH_2005-03-16,MONTH_2004-09-16,MONTH_2004-08-16,MONTH_2004-07-16,MONTH_2004-06-16,16.146349194511526,16.98124062194802,15.547917479215208,11.377748178181676,8.995634013265908,7.08371033380364,15.082836837978856,17.230720178732632,15.94037790224063,15.592895788398218
50.7184,-3.5339,1948,MONTH_1948-08-16,MONTH_1948-07-16,MONTH_1948-06-16,MONTH_1948-05-16,MONTH_1948-04-16,MONTH_1948-03-16,MONTH_1947-09-16,MONTH_1947-08-16,MONTH_1947-07-16,MONTH_1947-06-16,14.902759965592093,15.378123621541407,13.732897553033578,11.70488066818746,8.83743301909943,8.375619288318129,14.743002208132495,18.37377647247815,15.818506378453288,14.141697366941028
51.1781,-4.6673,1949,MONTH_1949-08-16,MONTH_1949-07-16,MONTH_1949-06-16,MONTH_1949-05-16,MONTH_1949-04-16,MONTH_1949-03-16,MONTH_1948-09-16,MONTH_1948-08-16,MONTH_1948-07-16,MONTH_1948-06-16,15.993556026887605,16.652872256420796,14.338880465478773,10.292270786335528,9.213960952949316,6.0162743968735395,13.439146294571293,14.639729793182745,14.71339885572413,12.921886891262417
51.6024,-0.6442,1924,MONTH_1924-08-16,MONTH_1924-07-16,MONTH_1924-06-16,MONTH_1924-05-16,MONTH_1924-04-16,MONTH_1924-03-16,MONTH_1923-09-16,MONTH_1923-08-16,MONTH_1923-07-16,MONTH_1923-06-16,14.227354363531235,15.40774531959493,14.329470134537384,11.983036440422486,7.40631094051353,4.3487903149730345,12.728102863776789,15.738195926020635,17.91272683704518,12.485560866053804
51.1735,-0.1721,1923,MONTH_1923-08-16,MONTH_1923-07-16,MONTH_1923-06-16,MONTH_1923-05-16,MONTH_1923-04-16,MONTH_1923-03-16,MONTH_1922-09-16,MONTH_1922-08-16,MONTH_1922-07-16,MONTH_1922-06-16,16.062828407947382,17.982169626028448,12.449248127144324,10.080316902629628,8.114202379527118,6.637270956206788,12.090459850049353,14.187577407334851,14.111763556974568,14.396747778002268
52.3709,-1.265,1921,MONTH_1921-08-16,MONTH_1921-07-16,MONTH_1921-06-16,MONTH_1921-05-16,MONTH_1921-04-16,MONTH_1921-03-16,MONTH_1920-09-16,MONTH_1920-08-16,MONTH_1920-07-16,MONTH_1920-06-16,15.141566652262883,18.073011800717477,13.648604825600172,10.86576402585662,7.61104751513331,6.781982788188001,12.27414736301469,12.891138439303736,13.567479085066935,13.68073558737003
52.038412,0.730233,1920,MONTH_1920-08-16,MONTH_1920-07-16,MONTH_1920-06-16,MONTH_1920-05-16,MONTH_1920-04-16,MONTH_1920-03-16,MONTH_1919-09-16,MONTH_1919-08-16,MONTH_1919-07-16,MONTH_1919-06-16,13.903708919442519,14.942980204562133,14.771774120297895,12.65571516615131,8.897384373522577,7.525542938200149,13.69051726641061,16.856184486535085,13.962455802370098,14.384723464680905
52.038412,0.730233,1927,MONTH_1927-08-16,MONTH_1927-07-16,MONTH_1927-06-16,MONTH_1927-05-16,MONTH_1927-04-16,MONTH_1927-03-16,MONTH_1926-09-16,MONTH_1926-08-16,MONTH_1926-07-16,MONTH_1926-06-16,16.32855141128433,15.576825347616484,13.121850552241588,11.306061075427808,8.496689474475923,7.31578503554112,15.401819594448789,16.75686114942103,16.60093413115128,13.708102509710088
52.3709,-1.265,1920,MONTH_1920-08-16,MONTH_1920-07-16,MONTH_1920-06-16,MONTH_1920-05-16,MONTH_1920-04-16,MONTH_1920-03-16,MONTH_1919-09-16,MONTH_1919-08-16,MONTH_1919-07-16,MONTH_1919-06-16,12.891138439303736,13.567479085066935,13.68073558737003,11.227566170124641,7.591528815203111,6.674777702334754,12.13787265328927,15.344924949764197,13.143806886908818,13.693327138685557
