rowname,elpd_diff,se_diff,elpd_loo,se_elpd_loo,p_loo,se_p_loo,looic,se_looic,Sp
ORIG_MF,0,0,139.9494153423001,6.368945641436424,4.715611827455545,0.7531734429896874,-279.8988306846002,12.737891282872848,Limenitis camilla
SPATIAL_MF,-0.7077979913524217,1.1219062971727738,139.24161735094773,6.445250072560225,7.263541830776761,1.1270496146710867,-278.48323470189547,12.89050014512045,Limenitis camilla
ORIG_MF,0,0,82.62875176565302,5.003184064878324,4.679588513227712,0.8638089113687032,-165.25750353130604,10.006368129756648,Lycaena phlaeas
SPATIAL_MF,-1.1309727722346876,2.076331965983255,81.49777899341835,5.850989231821076,10.068381653352215,2.4106022878874502,-162.9955579868367,11.701978463642153,Lycaena phlaeas
SPATIAL_MF,0,0,104.0001587824561,9.412203067521903,14.778969866102818,5.444069363030751,-208.0003175649122,18.824406135043805,Maniola jurtina
ORIG_MF,-3.017749386211946,3.0413346335868523,100.98240939624411,11.18565771170297,7.449522492692158,3.429872872662831,-201.96481879248822,22.37131542340594,Maniola jurtina
ORIG_MF,0,0,153.39575148105448,9.55073370753414,5.952735217090938,1.3253746200652137,-306.79150296210895,19.10146741506828,Melanargia galathea
SPATIAL_MF,-1.134334699342916,0.877124870853623,152.26141678171163,10.009933186828246,8.85279040054641,2.0011374169988616,-304.52283356342326,20.01986637365649,Melanargia galathea
ORIG_MF,0,0,76.83204415487145,7.8707806749051645,6.59094242321692,2.13101932159735,-153.6640883097429,15.741561349810329,Papilio machaon
SPATIAL_MF,-0.43878696694260544,0.8093545584336711,76.39325718792888,7.547518322063242,7.69034116579071,2.3105393421691023,-152.78651437585776,15.095036644126484,Papilio machaon
ORIG_MF,0,0,54.83087854275175,8.339105080145297,8.93035682406964,4.969449569748661,-109.6617570855035,16.678210160290593,Pararge aegeria
SPATIAL_MF,-0.017682443837721884,1.275212391519481,54.81319609891403,7.907861259372569,11.022297710747289,4.769136212296051,-109.62639219782805,15.815722518745138,Pararge aegeria
SPATIAL_MF,0,0,56.587676377399205,4.294548373745772,10.810111079190238,1.8713993534023194,-113.17535275479841,8.589096747491544,Pieris brassicae
ORIG_MF,-7.375263923958905,3.1241930979648687,49.21241245344029,6.023290534698387,5.860684276481491,1.809118232217596,-98.42482490688057,12.046581069396774,Pieris brassicae
