variable,mean,median,sd,mad,q5,q95,q2.5,q16.7,q83.3,q97.5,Sp,Sex
b_YearRescale,0.05710412214551393,0.057367412130963025,0.018791133239430328,0.018823802625975418,0.02600516063929737,0.08775203267741058,0.01988268050876681,0.03863377774558749,0.07495732874213083,0.09433334499582435,Erynnis tages,male
b_Temp,-0.0011294732948742452,-0.0010528354590781793,0.003865171964818899,0.003866421260030035,-0.007639851529396618,0.005187546334514112,-0.008758937905248718,-0.004907653368482909,0.002604457061796108,0.006283478961608815,Erynnis tages,male
b_Latitude,0.008053695074772925,0.008173224251216653,0.009189454938350388,0.008922923283199673,-0.007360117760820463,0.022968505881607544,-0.010095339866955554,-9.586804350039378e-4,0.016755760803143647,0.02607408919483123,Erynnis tages,male
sigma,0.06439309191964261,0.06425488255791545,0.0033249522281734493,0.0032534881942796415,0.05912429737442645,0.06998102003407247,0.058193873548583665,0.06129911363279819,0.06768948713575913,0.07117054101984131,Erynnis tages,male
Intercept,2.488981628231395,2.488985197917981,0.004443561326388495,0.0044281970138246194,2.4817465638852707,2.496109976735308,2.480320048666026,2.484749013510542,2.4932439947610536,2.4975965748923996,Erynnis tages,male
lprior,-3.181089398900409,-3.1810870550350216,5.683414589986297e-4,5.664627265548583e-4,-3.182021558217039,-3.180179675146509,-3.1822063185768257,-3.181631946717771,-3.180546540990253,-3.1800014093141202,Erynnis tages,male
lp__,259.631921128945,259.9520501811662,1.5755923422104123,1.3934444722479538,256.58384203841376,261.57945145286925,255.67918245838285,258.1748806013029,261.078920358701,261.7480729930303,Erynnis tages,male
b_Intercept,2.3471992588118096,2.3523222726212296,0.25558544650907833,0.2668693339955559,1.9260244289885937,2.7618500654978604,1.846524304844245,2.095527299351988,2.5974457624567013,2.829954882297554,Euphydryas aurinia,male
b_YearRescale,-0.012017313079905376,-0.012072960789761635,0.010648086845881954,0.01065734931754657,-0.02960460619193718,0.00490940156428111,-0.0331689075557338,-0.022232788618210857,-0.0015316454388827347,0.00866670466481993,Euphydryas aurinia,male
b_Temp,0.005560138089341357,0.005587175776090074,0.0021310617872584764,0.002131995507329325,0.001958203099268564,0.008981331204286791,0.0012903025658014657,0.0035007980067295564,0.007602966909425048,0.009745711265267803,Euphydryas aurinia,male
b_Latitude,0.01045266539600721,0.010346841710741399,0.004951621103590471,0.0051065708772914595,0.002301835418061078,0.01872040181735097,0.0010701471287975861,0.005575086855675535,0.015280894064171466,0.02025786774145032,Euphydryas aurinia,male
sigma,0.08623277205288257,0.0862135263780475,0.0015961307202050172,0.0015802284395318139,0.08358739238127469,0.08886234587256955,0.08315637636309042,0.08467334804346599,0.08775200286744066,0.08941655609727038,Euphydryas aurinia,male
Intercept,2.928004411975538,2.9280519466401556,0.0023048039584785155,0.0022103677240344444,2.924140542349896,2.9317809925548453,2.9232515934409364,2.925818744552677,2.93021049960627,2.932425312430676,Euphydryas aurinia,male
lprior,-3.145158821548366,-3.145157036065602,8.956101877329901e-5,8.676015862996133e-5,-3.1453104592410828,-3.1450156768565773,-3.145345505570253,-3.1452437185580475,-3.1450733954007366,-3.1449879734465527,Euphydryas aurinia,male
lp__,1481.6346766836211,1481.979466581836,1.6012189549120137,1.4552161877077372,1478.5508952827638,1483.6024889220187,1477.7875041814905,1480.1874262654023,1483.1182441501678,1483.7527376537157,Euphydryas aurinia,male
b_Intercept,3.4702411995772624,3.4686368240869188,0.25032715924655663,0.2510212077886366,3.068908956453696,3.873611926749003,3.0028767610931064,3.2231595994122504,3.717070596179861,3.9733008838412966,Fabriciana adippe,male
b_YearRescale,-0.04809964190165078,-0.04815102276053003,0.011442719887842304,0.011307164254021734,-0.06680064050431002,-0.029036922116812934,-0.07048413242172119,-0.059330039521280055,-0.03690675698721544,-0.02562154923463728,Fabriciana adippe,male
b_Temp,0.004918346290893305,0.004915666277912926,0.0017604081727224487,0.0017106527811555912,0.0020113628241121883,0.007878604766481083,0.001396713879342633,0.00326586803991986,0.006581451739418646,0.008421484774019954,Fabriciana adippe,male
b_Latitude,-0.003890656367106389,-0.0038827223913120113,0.004818260131097653,0.004892090770783401,-0.011676875212497629,0.0037963943229067363,-0.013494957825912013,-0.008673500666587028,9.228986662347182e-4,0.005164456963707342,Fabriciana adippe,male
sigma,0.047429214529792575,0.04738719337826788,0.0016136829575059664,0.001632410419337918,0.044829435394788085,0.05016709564230908,0.044377935793671594,0.04586280604947172,0.04897388869630607,0.05076010163943617,Fabriciana adippe,male
Intercept,3.268548719659765,3.268557918635967,0.0022231466699824225,0.0021787407420975585,3.2649084990622215,3.2722042128575777,3.2642386657438647,3.26641256643372,3.2706769989833573,3.272994690960219,Fabriciana adippe,male
lprior,-3.1444806851326956,-3.1444792971383198,8.165432736881897e-5,8.070558967813025e-5,-3.1446173125201993,-3.1443492384782785,-3.1446459115961742,-3.1445590503538883,-3.1444011833134127,-3.1443239849706988,Fabriciana adippe,male
lp__,713.5557477165877,713.8695088247322,1.5863184856244084,1.4237811116065704,710.479049360599,715.5010123829169,709.7278234758284,712.1577328731859,715.0205232881816,715.6615991153137,Fabriciana adippe,male
b_Intercept,2.5638990974315345,2.554614889891675,0.40907012789577063,0.39966309159673225,1.8880701377387898,3.2417911337797074,1.7725977974585136,2.174422983680574,2.957114586044408,3.401854913535959,Favonius quercus,male
b_YearRescale,0.0246362890413278,0.02451325734112892,0.019570375016829452,0.019922616480848497,-0.007258621699990707,0.05648080201339387,-0.013424055796605779,0.00562545657254384,0.04348528114350385,0.06259545565254437,Favonius quercus,male
b_Temp,-0.004165849983096999,-0.004216120801198049,0.003890487404099093,0.003826563651552659,-0.010327578633202564,0.0025523138381995055,-0.011558914547497287,-0.007847591694313339,-5.083408859020374e-4,0.003663118226339652,Favonius quercus,male
b_Latitude,0.004336301828097044,0.004460539207662182,0.007675028344720272,0.007594014930152483,-0.00825241665972579,0.017038296148833995,-0.01094481195761163,-0.003037650692543388,0.011712984740268152,0.019131266175057983,Favonius quercus,male
sigma,0.05708777371261714,0.05695276265765836,0.003093531353715471,0.0030479483423215287,0.05233450407311383,0.06243812903455152,0.05128907276002636,0.05415159134646527,0.060046471760255016,0.06351034784818124,Favonius quercus,male
Intercept,2.769791378685039,2.769750212454989,0.004328316087609233,0.004463623423114099,2.7627160550292906,2.776918981390828,2.7615321590109625,2.765608089836102,2.7739804152548504,2.7784858907255288,Favonius quercus,male
